russian,english
месяца,months
игра,a game
идём,Let's go
нём,him
джордж,George
познакомиться,познакомиться
возьму,I'll take it
слышали,heard
пошла,I went
корабль,ship
чувствуешь,Feel
позволь,allow me
сторону,side
игры,games
согласен,agree
письмо,letter
вниз,down
молодец,Well done
наверняка,Surely
утра,morning
вашим,Yours
нечего,nothing
встречи,Meetings
вид,view
никакой,no
связь,connection
список,list
такую,Such
весело,funny
сидеть,sit
гораздо,much
собирался,I was going
впервые,first
находится,located
объяснить,explain
полицию,Police
решили,decided
семью,family
свидание,date
остальные,rest
прийти,come
руках,hands
фбр,FBI
чувство,feeling
котором,which
решила,I decided
понадобится,You will need it
сынок,son
найду,I will find
фрэнк,Frank
школы,schools
чувства,feelings
дядя,uncle
стали,become
ушла,Left
первым,First
поверь,Believe me
расскажи,Tell
хочется,I want to
девушки,Girls
сон,dream
имел,had
каким,What
парнем,guy
многие,many
части,parts
ехать,drive
считаю,I think
никуда,Nowhere
голове,head
старый,old
оттуда,From there
чем-то,something
вопросов,questions
фото,photo
пройти,pass the
заниматься,study
другу,friend
вернулась,Returned
пара,pair
никак,no way
девочки,girls
благодарю,Thank you
своем,your own
недавно,recently
приехал,I arrived
глаз,eye
могло,Could
становится,It becomes
пыталась,I tried
является,is
брось,Throw
богу,God
ы,s
нашим,ours
помощи,help
волосы,hair
невероятно,Incredible
одном,One
ушел,gone
джейн,Jane
to,to
тела,bodies
недель,weeks
собирается,Gathering
защитить,protect
всеми,All
существует,exists
жив,alive
первая,First
позвоню,I'll call
благодаря,thanks to
вперёд,forward
навсегда,forever
помните,Remember
земле,Earth
делу,business
вполне,quite
пытается,Trying
будущее,future
семь,seven
своему,to your own
ок,OK
идиот,idiot
слава,glory
стоило,It was worth it
удалось,managed
делаем,We do
команда,team
главное,The main thing
огонь,fire
дэнни,Danny
замуж,Marry
начали,Started
мужчины,men
кого-нибудь,someone
силы,strength
семье,family
шеф,chef
суд,court
слышу,I hear
тюрьме,prison
попробовать,Try
друзьями,friends
алекс,Alex
вашем,yours
новая,New
маленькая,small
черта,The devil
придет,will come
страшно,scary
услышать,hear
новые,New
общем,general
звонил,Called
купил,bought
понравится,I like it
близко,close
самой,yourself
смысл,meaning
хорошее,Good
любил,I loved
сара,Sarah
единственная,The only one
делали,did
макс,Max
мэри,Mary
жду,I am waiting
получается,it turns out
хорошего,Good
эми,Amy
дамы,Ladies
жену,wife
гарри,Harry
неправильно,wrong
стоять,stand
плевать,spit
ключ,key
верить,believe
лично,personally
слышать,hear
взяли,have taken
поздравляю,Congratulations
пить,drink
заставить,Make it
получили,got
рот,mouth
делала,I did it
преступления,crimes
двери,Doors
землю,Earth
разумеется,Of course
очередь,queue
первой,First
разговор,talk
видимо,Apparently
звонок,Call
джеймс,James
s,S.
менее,less
нового,New
получила,received
хм,Hm
подальше,away
какая-то,Someone
сможете,You can
похож,Similar
состоянии,condition
необходимо,necessary
адвокат,advocate
касается,concerns
секунд,seconds
стоп,stop
дали,Dali
оставаться,stay
сделает,will do it
ходить,walk
помощью,help
хватает,Enough
изменить,change
король,king
народ,people
новую,New
девушку,girl
живет,Lives
секс,sex
сделаешь,You will do it
думали,Thought
нашем,ours
попасть,get
каждого,Everyone
другую,Another
просил,He asked
пошёл,I went
войны,War
случайно,accidentally
игру,game
мертв,dead
держись,Hold on
забыла,Forgot
цель,target
минуты,minutes
месье,Monsieur
выше,higher
однако,however
женщину,Woman
раза,times
мысли,thoughts
выход,exit
платье,dress
вовсе,At all
пришло,It came
женой,wife
ребёнка,child
сожалею,regret
твоем,yours
осторожно,carefully
смогла,I was able
этими,These
стану,I will become
маме,Mom
парней,guys
нравятся,I like it
покое,Sour
поехать,Go
садись,Sit down
миллионов,millions
отличный,great
ребёнок,child
дочери,Daughters
дороги,Roads
ого,Wow
ха,Ha
нечто,something
первое,first
выяснить,to figure out
ник,Nick
информацию,information
офис,office
какое-то,Someone
записи,Records
лучшее,the best
течение,flow
вечеринку,Party
убью,I will kill
годы,years
забыть,forget
правила,rules
сожалению,Unfortunately
какие-то,Some
слов,words
джимми,Jimmy
дни,Days
дала,Dal
жизнью,life
совет,advice
занят,busy
кем-то,Someone
попробуй,try
подруга,girlfriend
расскажу,I'll tell you
целый,whole
красивая,beautiful
попросил,I asked
вышел,came out
удар,hit
вещей,of things
адрес,address
дэвид,David
оставьте,Leave
сержант,sergeant
увидишь,You will see
виноват,To blame
разница,difference
открыть,open
написал,wrote
ждет,Waiting
новое,new
счастлив,happy
вау,Wow
выбора,choice
продолжай,continue
задницу,ass
покажу,I will show
единственное,the only thing
доверять,trust
встреча,meeting
убивать,kill
концов,The ends
обоих,both
будьте,Be
останется,will remain
тюрьму,prison
наверно,maybe
ищу,looking for
момента,moment
обед,dinner
лица,faces
видео,video
стойте,Stand
взяла,I took it
подождать,wait
считает,He thinks
вечно,forever
покажи,Show me
бен,Ben
книгу,book
многое,much
земли,Earth
дел,cases
какую,what
поскольку,because the
узнала,I found out
сильнее,stronger
жены,wives
встречу,Meeting
весьма,Very
блядь,Damn
поняли,understood
родителей,parents
оу,OU
лейтенант,lieutenant
глупо,Stupid
узнает,Learn
думают,Think
сезон,season
снаружи,outside
голова,head
мамой,Mom
заняться,do
кино,movie
вечера,Evenings
свете,light
выйдет,It will come out
восемь,eight
найдем,Find
помогу,I will help
больницу,hospital
больнице,hospital
магазин,shop
тони,Tony
заметил,I noticed
договорились,Deal
слушать,listen
бизнес,business
примерно,approximately
уехать,Leave
мамы,Mom
позвонил,I called
выходит,It turns out
когда-либо,ever
маму,Mom
документы,documentation
попал,I got it
шаг,step
отпусти,Let go
смотрю,I'm watching
здравствуй,Hello
понравилось,liked
смогли,They were able
правы,right
большие,Big
рассказала,told
идут,Go
готово,ready
плохой,bad
офицер,Officer
узнали,learned
скажет,Say
сюрприз,surprise
внимания,attention
вышло,It turned out
дорогу,The road
считаешь,You think
фотографии,photos
вода,water
делом,business
каком,which one
полный,full
следующей,next
доказать,prove
захочешь,If you want
книги,Books
война,war
планы,Plans
мысль,thought
веришь,Believe
видно,it is seen
скажем,Let's say
большинство,majority
ребят,Guys
продолжать,continue
ранее,previously
жертвы,victims
ближе,closer
качестве,quality
двигаться,move
написано,Written
чувствовать,feel
хорош,good
любить,be in love
величество,Majesty
головы,heads
дороге,road
попросить,Ask
времена,time
подумай,Think
забавно,Funny
главный,main
внизу,at the bottom
каждую,Each
остался,remained
вставай,Get up
мнение,opinion
твоему,Your
часы,watch
вряд,unlikely
постой,Wait
сомневаюсь,I doubt
отдай,Give it
вечеринка,party
ошибка,error
приехали,Arrived
бросил,He threw it
вернется,will return
профессор,Professor
любят,Love
ключи,Keys
подходит,fits
беги,Run
ничто,nothing
поле,field
